gameweek,player_name,team,position,predicted_state,actual_state,predicted_xp,actual_points,predicted_xm,actual_minutes,decision_relevance,ledger_category,estimated_point_cost
21,Antoine Semenyo,BOU,MIDFIELDER,START,START,4.37,6,76.8,90,STARTER,HARMLESS,0.0
21,Igor Thiago Nascimento Rodrigues,BRE,FORWARD,START,START,4.79,12,74.2,81,CAPTAIN,HARMLESS,0.0
21,Enzo Fernández,CHE,MIDFIELDER,START,START,3.85,1,69.7,64,STARTER,HARMLESS,0.0
21,Jean-Philippe Mateta,CRY,FORWARD,START,START,4.15,2,73.3,90,STARTER,HARMLESS,0.0
21,James Tarkowski,EVE,DEFENDER,START,START,4.5,4,76.5,90,STARTER,HARMLESS,0.0
21,Nico O'Reilly,MCI,DEFENDER,START,SUB,3.46,1,62.3,17,STARTER,PREDICTION_ERROR,2.5
21,Bruno Borges Fernandes,MUN,MIDFIELDER,NO_PLAY,START,1.53,7,0.0,60,BENCH,BOTH,5.5
21,Matheus Santos Carneiro da Cunha,MUN,MIDFIELDER,START,START,3.67,2,76.8,73,STARTER,HARMLESS,0.0
21,Guglielmo Vicario,TOT,GOALKEEPER,START,START,2.94,1,79.4,90,BENCH,HARMLESS,0.0
21,Pedro Porro Sauceda,TOT,DEFENDER,START,START,2.47,0,76.5,90,BENCH,HARMLESS,0.0
21,Micky van de Ven,TOT,DEFENDER,START,START,2.67,0,76.4,90,BENCH,HARMLESS,0.0
21,Dominic Calvert-Lewin,LEE,FORWARD,START,START,3.1,8,57.1,86,STARTER,HARMLESS,0.0
